ticker,cik
CHESAPEAKE ENERGY CORP,0000895126
OHIO VALLEY BANC CORP,0000894671
SOUTHERN ENERGY HOMES INC,0000896397
PHILADELPHIA SUBURBAN CORP,0000078128
HIGH SPEED ACCESS CORP,0001075244
RESOURCE AMERICA INC,0000083402
MILACRON INC,0000716823
DARLING INTERNATIONAL INC,0000916540
INTERWOVEN INC,0001042431
CELERITEK INC,0000919583
BNCCORP,0000945434
EZCORP INC,0000876523
ASTEA INTERNATIONAL INC,0000945989
MIKASA INC,0000920758
MAXIM PHARMACEUTICALS INC,0001013351
ATLANTIS PLASTICS INC,0000811828
FIRETECTOR INC,0000823130
HAGGAR CORP,0000892533
FULL LINE DISTRIBUTORS INC,0000913950
UNITED SHIPPING & TECHNOLOGY INC,0001002902
MIDWEST BANC HOLDINGS INC,0001051379
INSMED INC,0001104506
ANALYSTS INTERNATIONAL CORP,0000006292
ALKERMES INC,0000874663
ALTERNATIVE RESOURCES CORP,0000920521
HALLWOOD GROUP INC,0000355766
ENCORE MEDICAL CORP,0000944763
PROGENICS PHARMACEUTICALS INC,0000835887
IKON OFFICE SOLUTIONS INC,0000003370
EDEN BIOSCIENCE CORP,0000930095
PERFECTDATA CORP,0000719662
SPARTON CORP,0000092679
ABOUT COM INC,0001075314
FAUQUIER BANKSHARES INC,0001083643
AMERICA ONLINE LATIN AMERICA INC,0001100395
FIRST COMMONWEALTH FINANCIAL COR,0000712537
GRIFFON CORP,0000050725
TIMBERLINE SOFTWARE CORP,0000314436
TIVO INC,0001088825
AEROFLEX INC,0000002601
CITIZENS INC,0000024090
I LINK INC,0000849145
EMERSON RADIO CORP,0000032621
ATLANTIC TECHNOLOGY VENTURES INC,0001001316
TANDY BRANDS ACCESSORIES INC,0000869487
LIBERTY DIGITAL INC,0001040449
KENDLE INTERNATIONAL INC,0001039151
CRITICAL PATH INC,0001060801
MISONIX INC,0000880432
UNITEDGLOBALCOM INC,0000887949
NEON COMMUNICATIONS INC,0001116086
XEROX CORP,0000108772
SOUTHSIDE BANCSHARES INC,0000705432
PRICELINE COM INC,0001075531
GERBER CHILDRENSWEAR INC,0001052274
KNOT INC,0001062292
AIRTRAN HOLDINGS INC,0000948846
NETSOL INTERNATIONAL INC,0001039280
GLOBAL INDUSTRIES LTD,0000895663
AIRSPAN NETWORKS INC,0001105542
DREW INDUSTRIES INC,0000763744
TECUMSEH PRODUCTS CO,0000096831
CROWN CRAFTS INC,0000025895
MAXTOR CORP,0000711039
NAVISITE INC,0001084750
UTAH MEDICAL PRODUCTS INC,0000706698
GREY WOLF INC,0000320186
PREMIER COMMUNITY BANKSHARES INC,0000854399
FINANCIAL FEDERAL CORP,0000854711
FIRST CHARTER CORP,0000717306
SPSS INC,0000869570
LONE STAR TECHNOLOGIES INC,0000791348
PRICESMART INC,0001041803
LENDINGTREE INC,0001096479
ORYX TECHNOLOGY CORP,0000915355
NATIONAL MERCANTILE BANCORP,0000714801
1 800 CONTACTS INC,0001050122
MERCANTILE BANK CORP,0001042729
UNITIL CORP,0000755001
MORGANS FOODS INC,0000068145
CRYO CELL INTERNATIONAL INC,0000862692
SPECTRASITE HOLDINGS INC,0001072048
WALLACE COMPUTER SERVICES INC,0000104348
REVLON INC,0000887921
PARLEX CORP,0000724988
IMCLONE SYSTEMS INC,0000765258
EQUITABLE RESOURCES INC,0000033213
MERIDIAN RESOURCE CORP,0000869369
LEGG MASON INC,0000704051
KIRLIN HOLDING CORP,0000930797
DATA RACE INC,0000890924
WINFIELD CAPITAL CORP,0000936404
TUCKER ANTHONY SUTRO,0001029267
PARKER DRILLING CO,0000076321
MASSEY ENERGY CO,0000037748
SCHULMAN A INC,0000087565
GAMETECH INTERNATIONAL INC,0001045014
BALDOR ELECTRIC CO,0000009342
MICREL INC,0000932111
CARA THERAPEUTICS INC,0001346830
MACKIE DESIGNS INC,0000946815
NAPCO SECURITY SYSTEMS INC,0000069633
E TRADE GROUP INC,0001015780
SHARPER IMAGE CORP,0001367981
FOODARAMA SUPERMARKETS INC,0000037914
AMERICAN MEDICAL TECHNOLOGIES IN,0000874388
PERICOM SEMICONDUCTOR CORP,0001001426
NORTH AMERICAN SCIENTIFIC INC,0000949876
KEITH COMPANIES INC,0001080922
MAXICARE HEALTH PLANS INC,0000722573
QUORUM HEALTH GROUP INC,0000854694
LEXICON GENETICS INC,0001062822
EN POINTE TECHNOLOGIES INC,0001010305
DATAWATCH CORP,0000792130
ERGO SCIENCE CORP,0001158846
VICOM INC,0000732412
BITSTREAM INC,0000818813
FIRST FINANCIAL HOLDINGS INC,0000787075
DANIELSON HOLDING CORP,0000225648
DECKERS OUTDOOR CORP,0000910521
A B WATLEY GROUP INC,0001035632
CAPITAL TITLE GROUP INC,0001017158
FOILMARK INC,0000914066
CAMINUS CORP,0001095157
HORIZON PHARMACIES INC,0001036260
LECROY CORP,0000943580
MASSBANK CORP,0000799166
MASTEC INC,0000015615
FRANKLIN COVEY CO,0000886206
LIONBRIDGE TECHNOLOGIES,0001058299
HOME PRODUCTS INTERNATIONAL INC,0000814457
SHAW GROUP INC,0000914024
DALEEN TECHNOLOGIES INC,0001002658
CURAGEN CORP,0001030653
PATTERSON ENERGY INC,0000889900
ADAM COM INC,0000863650
LIGHTSPAN INC,0001097892
WASHINGTON BANKING CO,0001058690
AMERICAN CLAIMS EVALUATION INC,0000774517
UNUM THERAPEUTICS INC,0001622229
IPARTY CORP,0001078383
EDUCATION MANAGEMENT CORP,0000880059
DUDDELL STREET ACQUISITION CORP,0001823466
ACE COMM CORP,0001017526
RED HAT INC,0001087423
NOBLE INTERNATIONAL LTD,0001034258
CARVANA CO,0001690820
TENET HEALTHCARE CORP,0000070318
NEXTEL PARTNERS INC,0001085707
PENTON MEDIA INC,0001062441
INFOCURE CORP,0001028584
SUFFOLK BANCORP,0000754673
STARTEK INC,0001031029
BANK OF WILMINGTON,0001334872
SIPEX CORP,0001007800
EPICEDGE INC,0000313041
HOWELL CORP,0000745113
PROGRAMMERS PARADISE INC,0000945983
INKINE PHARMACEUTICAL CO INC,0000929547
PERSONNEL GROUP OF AMERICA INC,0000948850
ENDWAVE CORP,0001118941
ALL AMERICAN SEMICONDUCTOR INC,0000818074
CABOT OIL & GAS CORP,0000858470
HIRERIGHT HOLDINGS CORP,0001859285
XETEL CORP,0001003932
VARSITY GROUP INC,0001069502
HYPERTENSION DIAGNOSTICS INC,0001058828
CHAPARRAL RESOURCES INC,0000019252
PIXTECH INC,0000946144
AMERICAN RIVER HOLDINGS,0001108236
MERIX CORP,0000921365
STRAYER EDUCATION INC,0001013934
COLONIAL BANCGROUP INC,0000092339
HEALTHSOUTH CORP,0000785161
ENERGY CONVERSION DEVICES INC,0000032878
NATIONAL BEVERAGE CORP,0000069891
CHESTER BANCORP,0001010838
ACCESS ANYTIME BANCORP,0001024015
HEALTH NET INC,0000916085
JONES LANG LASALLE INC,0001037976
SNYDER COMMUNICATIONS INC,0001017906
MICHAEL ANTHONY JEWELERS INC,0000799515
GEHL CO,0000856386
ZAPME CORP,0001084561
UNITED INDUSTRIAL CORP,0000101271
INTERNAP NETWORK SERVICES CORP,0001056386
SUNAIR ELECTRONICS INC,0000095366
FEDERAL SIGNAL CORP,0000277509
HEMISPHERX BIOPHARMA INC,0000946644
REDBACK NETWORKS INC,0001081290
IMAGINON INC,0000899444
ALLEGHENY TECHNOLOGIES,0001602701
REPUBLIC BANCSHARES INC,0001005501
OPTION CARE INC,0000884064
ORIENTAL FINANCIAL GROUP INC,0001030469
CYMER INC,0000897067
TETRA TECHNOLOGIES INC,0000844965
CYTEC INDUSTRIES INC,0000912513
GENAISSANCE PHARMACEUTICALS INC,0001110009
WORKGROUP TECHNOLOGY CORP,0001007021
ENERGEN CORP,0000277595
UNIVERSAL ELECTRONICS INC,0000101984
WESTBANK CORP,0000742070
SONIC FOUNDRY INC,0001029744
CROWN GROUP INC,0000799850
SMURFIT STONE CONTAINER CORP,0000919226
ORLEANS HOMEBUILDERS INC,0000038570
NEOTHERAPEUTICS INC,0000831547
REPLIGEN CORP,0000730272
ROBBINS & MYERS INC,0000084290
HURCO CO,0000315374
INTERMAGNETICS GENERAL CORP,0000351012
ANIXTER INTERNATIONAL INC,0000052795
AMPLICON INC,0000803016
VITESSE SEMICONDUCTOR CORP,0000880446
HOME POINT CAPITAL INC,0001830197
OAKLEY INC,0000946356
LIFECORE BIOMEDICAL INC,0000028626
BALDWIN TECHNOLOGY CO INC,0000805792
ATMOS ENERGY CORP,0000731802
EXPLORATION CO,0000313395
LINDSAY MANUFACTURING CO,0000836157
MIDDLEBY CORP,0000769520
DATATEC SYSTEMS INC,0000768119
LINCOLN ELECTRIC HOLDINGS INC,0000059527
ACMAT CORP,0000002062
COVANCE INC,0001023131
SHOLODGE INC,0000881924
CYLINK CORP,0001005230
ALLIED RESEARCH CORP,0000003952
DIEBOLD INC,0000028823
EVERTRUST FINANCIAL GROUP INC,0001088514
SEDONA CORP,0000764843
CUBIC CORP,0000026076
TERRA INDUSTRIES INC,0000722079
NEWS COMMUNICATIONS INC,0000794487
LYNX THERAPEUTICS INC,0000913275
ADVANTA CORP,0000096638
ROYAL GOLD INC,0000085535
INTIMATE BRANDS INC,0000945676
FREQUENCY ELECTRONICS INC,0000039020
UNIFAB INTERNATIONAL INC,0000101990
IMAGE SENSING SYSTEMS INC,0000943034
NEXT LEVEL COMMUNICATIONS INC,0001093802
ENLIGHTEN SOFTWARE SOLUTIONS INC,0000919175
LAIDLAW GLOBAL CORP,0000869026
CHARMING SHOPPES INC,0000019353
LASERSIGHT INC,0000879301
SYCAMORE NETWORKS INC,0001092367
ONVIA COM INC,0001100917
NATIONAL PENN BANCSHARES INC,0000700733
POPULAR INC,0000763901
COLORADO MEDTECH INC,0000720013
TRIPATH IMAGING INC,0001041426
CITIZENS FIRST FINANCIAL CORP,0001006265
NETRADIO CORP,0001002636
CHELL GROUP CORP,0000797313
WILEY JOHN & SONS INC,0000107141
VALASSIS COMMUNICATIONS INC,0000883293
CONSTELLATION 3D INC,0001080290
FIRSTFED FINANCIAL CORP,0000810536
CORINTHIAN COLLEGES INC,0001066134
STARMEDIA NETWORK INC,0001057334
TROY FINANCIAL CORP,0001075046
CROSS MEDIA MARKETING CORP,0001069201
MILLBROOK PRESS INC,0001022899
HELMERICH & PAYNE INC,0000046765
GRACO INC,0000042888
ZORAN CORP,0001003022
DEL MONTE FOODS CO,0000866873
NAVARRE CORP,0000911650
SYMPHONIX DEVICES INC,0000930481
POLYONE CORP,0001122976
ELASTIC NETWORKS INC,0001088242
AMSURG CORP,0000895930
WASHINGTON TRUST BANCORP INC,0000737468
CABOT CORP,0000016040
INSIGHT ENTERPRISES INC,0000932696
CASCADE FINANCIAL CORP,0000928911
CLICKACTION INC,0000944950
HEALTH RISK MANAGEMENT INC,0000869486
TITANIUM METALS CORP,0001011657
EMISPHERE TECHNOLOGIES INC,0000805326
INCYTE GENOMICS INC,0000879169
FLANDERS CORP,0000799526
NU SKIN ENTERPRISES INC,0001021561
QUIDEL CORP,0000353569
SYBRON DENTAL SPECIALTIES INC,0001121302
POLARIS INDUSTRIES INC,0000931015
WABASH NATIONAL CORP,0000879526
CURON MEDICAL INC,0001114365
COVENANT TRANSPORT INC,0000928658
M & F WORLDWIDE CORP,0000945235
NETERGY NETWORKS INC,0001023731
ARIBA INC,0001084755
SANFILIPPO JOHN B & SON,0000880117
FILENET CORP,0000706015
TRINITY INDUSTRIES INC,0000099780
GLATFELTER P H CO,0000041719
BAYCORP HOLDINGS LTD,0001012127
JACO ELECTRONICS INC,0000052971
ELOQUENT INC,0001003265
CLENE INC,0001822791
ADVANTAGE MARKETING SYSTEMS INC,0000841866
CHINAB2BSOURCING COM INC,0001057695
SCHOLASTIC CORP,0000866729
LIGAND PHARMACEUTICALS INC,0000886163
LATTICE SEMICONDUCTOR CORP,0000855658
PRICE COMMUNICATIONS CORP,0000355787
BIOSITE DIAGNOSTICS INC,0000834306
MERISEL INC,0000724941
PENWEST PHARMACEUTICALS CO,0001047188
LANCE INC,0000057528
HERLEY INDUSTRIES INC,0000047035
AEROGEN INC,0001039160
VOLCOM INC,0001324570
INTERVOICE BRITE INC,0000764244
ALBEMARLE CORP,0000915913
STANDARD MICROSYSTEMS CORP,0000093384
DONEGAL GROUP INC,0000800457
ATHEROGENICS INC,0001107601
FLAG FINANCIAL CORP,0000897509
T STAMP INC,0001718939
VIEWPOINT CORP,0000919794
MINERALS TECHNOLOGIES INC,0000891014
ASTA FUNDING INC,0001001258
STAR PEAK CORP II,0001830210
SYMYX TECHNOLOGIES INC,0001095330
LASER PHOTONICS CORP,0001807887
PARK ELECTROCHEMICAL CORP,0000076267
GLOBESPAN INC,0001081197
NAPRO BIOTHERAPEUTICS INC,0000891504
TAITRON COMPONENTS INC,0000942126
DITECH COMMUNICATIONS CORP,0001080667
NETRO CORP,0001087779
ZYGO CORP,0000730716
AURORA FOODS INC,0001060024
WILLIAMS INDUSTRIES INC,0000107294
ALLEGIANCE TELECOM INC,0001058703
MICROSEMI CORP,0000310568
JOS A BANK CLOTHIERS INC,0000814675
ATRION CORP,0000701288
TYSON FOODS INC,0000100493
AUTOBYTEL COM INC,0001023364
INTERGROUP CORP,0000069422
TERAGLOBAL COMMUNICATIONS CORP,0001071876
CHANNELL COMMERCIAL CORP,0001013696
FEDDERS CORP,0000744106
SPECTRANETICS CORP,0000789132
HUNTWAY REFINING CO,0001053811
WESTERN POWER & EQUIPMENT CORP,0000939729
BALLY TOTAL FITNESS HOLDING CORP,0000770944
MULTI COLOR CORP,0000819220
INFORMATION RESOURCES INC,0000714278
CENTRAL VIRGINIA BANKSHARES INC,0000804561
DIGITAL INSIGHT CORP,0001037275
GENZYME TRANSGENICS CORP,0000904973
UNITED FINANCIAL CORP,0001011309
BATTLE MOUNTAIN GOLD CO,0000771498
VIROLOGIC INC,0001094961
HUNTINGTON BANCSHARES INC,0000049196
OCEAN BIO CHEM INC,0000350737
FATHOM HOLDINGS INC,0001753162
KFORCE COM INC,0000930420
REMEC INC,0000769874
NEWBORN ACQUISITION CORP,0001780262
XTRA CORP,0000217591
FLOW INTERNATIONAL CORP,0000713002
HOMETOWN AUTO RETAILERS INC,0001061117
GLOBAL PAYMENT TECHNOLOGIES INC,0000933020
ELCOM INTERNATIONAL INC,0000900096
CHOICETEL COMMUNICATIONS INC,0001031927
FIRST NORTHWEST BANCORP,0001556727
ATTORNEYS COM INC,0001010615
EXABYTE CORP,0000855109
TARGETED GENETICS CORP,0000921114
AFFILIATED MANAGERS GROUP INC,0001004434
NOBILITY HOMES INC,0000072205
FIRST BANCORP OF INDIANA INC,0001074543
NATROL INC,0001025573
WOLVERINE WORLD WIDE INC,0000110471
AMREP CORP,0000006207
ORTHOLOGIC CORP,0000887151
ASPECT COMMUNICATIONS CORP,0000779390
CIRCLE GROUP HOLDINGS INC,0001052257
WALTER INDUSTRIES INC,0000837173
WELLMAN INC,0000812708
JWGENESIS FINANCIAL CORP,0001057412
CAL MAINE FOODS INC,0000016160
VIALOG CORP,0001016601
ALTIGEN COMMUNICATIONS INC,0001003607
O CHARLEYS INC,0000864233
BILLSERV COM INC,0001088034
WILLOW GROVE BANCORP INC,0001163428
DIAMOND OFFSHORE DRILLING INC,0000949039
BORDERS GROUP INC,0000940510
WEIS MARKETS INC,0000105418
SYSTEMAX INC,0000945114
ACTEL CORP,0000907687
SKYLINE CORP,0000090896
GRAND TOYS INTERNATIONAL INC,0000814463
ENERSYS,0001289308
BROOKSTONE INC,0000830134
FINANCIAL PERFORMANCE CORP,0000798600
FIDELITY BANCORP INC,0000912219
FEATHERLITE INC,0000928064
CLASSIC COMMUNICATIONS INC,0001069602
FLAMEMASTER CORP,0000037358
RES CARE INC,0000776325
KAYDON CORP,0000740694
OLYMPIC CASCADE FINANCIAL CORP,0001023844
TTM TECHNOLOGIES INC,0001116942
CASS INFORMATION SYSTEMS INC,0000708781
DIVERSA CORP,0001049210
REGISTER COM INC,0001091284
MONACO COACH CORP,0000910619
LIFELINE SYSTEMS INC,0000720195
MATRIX BANCORP INC,0000944725
EVERCEL INC,0001071119
SPECIALTY CATALOG CORP,0001020897
GOODYEAR TIRE & RUBBER CO,0000042582
EDGEWATER TECHNOLOGY INC,0001017968
CALDERA SYSTEMS INC,0001102542
ANTHONY & SYLVAN POOLS CORP,0001067606
ALLEN TELECOM INC,0000003721
OILGEAR CO,0000074058
TERAFORCE TECHNOLOGY CORP,0000316672
SONOSITE INC,0001055355
J NET ENTERPRISES INC,0000351903
WIND RIVER SYSTEMS INC,0000833829
NEOFORMA COM INC,0001096219
CROMPTON CORP,0001091862
SIEBERT FINANCIAL CORP,0000065596
MOTOR CARGO INDUSTRIES INC,0001047073
NITCHES INC,0000772263
ESENJAY EXPLORATION INC,0000901611
JACK IN THE BOX INC,0000807882
V I TECHNOLOGIES INC,0001040017
DELCO REMY INTERNATIONAL INC,0001046859
EXPONENT INC,0000851520
ORIOLE HOMES CORP,0000074928
SOBIESKI BANCORP INC,0000934860
BANKATLANTIC BANCORP INC,0000921768
CARBO CERAMICS INC,0001009672
TWIST BIOSCIENCE CORP,0001581280
UNITED AUTO GROUP INC,0001019849
NEUROBIOLOGICAL TECHNOLOGIES INC,0000918112
AIR T INC,0000353184
FIRST LEESPORT BANCORP INC,0000775662
LACROSSE FOOTWEAR INC,0000919443
NANOMETRICS INC,0000704532
CORVAS INTERNATIONAL INC,0000882100
GENERAL CHEMICAL GROUP INC,0000929697
VERAMARK TECHNOLOGIES INC,0000747605
THERAGENICS CORP,0000795551
WHITE ELECTRONIC DESIGNS CORP,0000013606
UGLY DUCKLING CORP,0001012704
NORTH COAST ENERGY INC,0000839950
HORIZON ORGANIC HOLDING CORP,0001041255
EXCEL LEGACY CORP,0001050671
JACOBS ENGINEERING GROUP INC,0000052988
INPUT OUTPUT INC,0000866609
AGENCY COM LTD,0001086403
AXCESS INC,0000710597
RAYTEL MEDICAL CORP,0001002017
BEYOND COM CORP,0001060531
MYRIAD GENETICS INC,0000899923
PRECISION OPTICS CORP INC,0000867840
FLAGSTAR BANCORP INC,0001033012
CYBEX INTERNATIONAL INC,0000060876
WELLSFORD REAL PROPERTIES INC,0001038222
AMERICAN STATES WATER CO,0001056903
FIRST FEDERAL CAPITAL CORP,0000851207
HARVEY ELECTRONICS INC,0000046043
SOTHEBYS HOLDINGS INC,0000823094
ART TECHNOLOGY GROUP INC,0001086195
TEKINSIGHT COM INC,0000879465
DELTA & PINE LAND CO,0001183401
VIRAGE INC,0001101147
NEW HOME CO INC,0001574596
ZOLL MEDICAL CORP,0000887568
SEMOTUS SOLUTIONS INC,0000832370
WESTELL TECHNOLOGIES INC,0001002135
CANNON EXPRESS INC,0000801558
DSET CORP,0001052196
CASEYS GENERAL STORES INC,0000726958
NACCO INDUSTRIES INC,0000789933
NUVEEN JOHN CO,0000885708
PFSWEB INC,0001095315
ZEVEX INTERNATIONAL INC,0000827056
COMMONWEALTH BANKSHARES INC,0000835012
I FLOW CORP,0000857728
LONE STAR STEAKHOUSE & SALOON IN,0000883670
CHARTER COMMUNICATIONS INC,0001091667
FIRST MARINER BANCORP,0000946090
VINTAGE PETROLEUM INC,0000809428
DIGIMARC CORP,0001089443
STOCKERYALE INC,0000094538
SHILOH INDUSTRIES INC,0000904979
ACTIONPOINT INC,0000909276
ALTERRA HEALTHCARE CORP,0001013218
WASHINGTON FEDERAL INC,0000936528
KESTREL ENERGY INC,0000312842
VION PHARMACEUTICALS INC,0000944522
FRESH AMERICA CORP,0000921614
GENTNER COMMUNICATIONS CORP,0000840715
ROADHOUSE GRILL INC,0001019376
RAILAMERICA INC,0000887637
